seed,policy,threshold,coverage,abstention_rate,selective_accuracy,selective_macro_f1,error_rate_on_covered,review_rate,absent_recall,new_recall,persistent_recall,resolved_recall
123,confidence_margin,0.8,0.8663594470046083,0.1336405529953917,0.7978723404255319,0.38051965642376046,0.2021276595744681,0.33640552995391704,0.9290322580645162,0.07692307692307693,0.125,0.3333333333333333
123,change_sensitive,0.55,0.8663594470046083,0.1336405529953917,0.7446808510638298,0.36961234343984406,0.25531914893617025,0.2764976958525346,0.868421052631579,0.125,0.14285714285714285,0.38461538461538464
123,change_sensitive,0.6,0.8525345622119815,0.14746543778801843,0.745945945945946,0.3731296441425752,0.254054054054054,0.2903225806451613,0.8666666666666667,0.125,0.16666666666666666,0.38461538461538464
123,change_sensitive,0.65,0.8433179723502304,0.15668202764976957,0.7431693989071039,0.37270445941704916,0.2568306010928961,0.2995391705069124,0.8648648648648649,0.125,0.16666666666666666,0.38461538461538464
123,change_sensitive,0.7,0.8294930875576036,0.17050691244239632,0.75,0.37901701455983466,0.25,0.3225806451612903,0.8639455782312925,0.13333333333333333,0.2,0.38461538461538464
123,change_sensitive,0.75,0.8202764976958525,0.17972350230414746,0.7471910112359551,0.37859207678286627,0.2528089887640449,0.33640552995391704,0.8620689655172413,0.13333333333333333,0.2,0.38461538461538464
123,change_sensitive,0.8,0.8202764976958525,0.17972350230414746,0.7471910112359551,0.37859207678286627,0.2528089887640449,0.33640552995391704,0.8620689655172413,0.13333333333333333,0.2,0.38461538461538464
123,low_confidence_only,0.55,0.9769585253456221,0.02304147465437788,0.7594339622641509,0.3671394141638858,0.24056603773584906,0.2764976958525346,0.9,0.1111111111111111,0.1,0.35714285714285715
123,low_confidence_only,0.6,0.9585253456221198,0.041474654377880185,0.7644230769230769,0.373141186299081,0.23557692307692313,0.2903225806451613,0.9041916167664671,0.1111111111111111,0.1111111111111111,0.35714285714285715
123,low_confidence_only,0.65,0.9400921658986175,0.059907834101382486,0.7647058823529411,0.3761500379874029,0.23529411764705888,0.2995391705069124,0.9079754601226994,0.1111111111111111,0.1111111111111111,0.35714285714285715
123,low_confidence_only,0.7,0.9078341013824884,0.09216589861751152,0.7766497461928934,0.3581118881118881,0.2233502538071066,0.3225806451612903,0.9130434782608695,0.06666666666666667,0.125,0.3076923076923077
123,low_confidence_only,0.75,0.880184331797235,0.11981566820276497,0.7905759162303665,0.37412775093934514,0.2094240837696335,0.33640552995391704,0.9235668789808917,0.07142857142857142,0.125,0.3333333333333333
123,low_confidence_only,0.8,0.8663594470046083,0.1336405529953917,0.7978723404255319,0.38051965642376046,0.2021276595744681,0.33640552995391704,0.9290322580645162,0.07692307692307693,0.125,0.3333333333333333
